block,node0,node1,node2,node3,node4,node5,node6,node7,node8,node9,node10,node11,node12,node13,node14,node15,node16,node17,node18,node19,node20,node21
107,4519.0024,1361.7092,805.1351,795.6480,811.4598,834.2287,829.8014,834.8612,831.0664,833.5962,838.0235,820.9468,841.1859,833.5962,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,748.8452
108,4519.0024,1361.7092,957.5605,795.6480,811.4598,834.2287,829.8014,834.8612,831.0664,833.5962,838.0235,820.9468,841.1859,833.5962,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,748.8452
109,4519.0024,1361.7092,957.5605,937.3214,811.4598,834.2287,829.8014,834.8612,831.0664,833.5962,838.0235,820.9468,841.1859,833.5962,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,748.8452
110,4519.0024,1361.7092,957.5605,937.3214,944.2786,834.2287,829.8014,834.8612,831.0664,833.5962,838.0235,820.9468,841.1859,833.5962,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,748.8452
111,4519.0024,1361.7092,957.5605,937.3214,944.2786,968.9449,829.8014,834.8612,831.0664,833.5962,838.0235,820.9468,841.1859,833.5962,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,748.8452
112,4519.0024,1361.7092,957.5605,937.3214,944.2786,968.9449,963.8852,834.8612,831.0664,833.5962,838.0235,820.9468,841.1859,833.5962,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,748.8452
113,4519.0024,1361.7092,957.5605,937.3214,944.2786,968.9449,963.8852,987.9191,831.0664,833.5962,838.0235,820.9468,841.1859,833.5962,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,748.8452
114,4519.0024,1361.7092,957.5605,937.3214,944.2786,968.9449,963.8852,987.9191,966.4151,833.5962,838.0235,820.9468,841.1859,833.5962,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,748.8452
115,4519.0024,1361.7092,957.5605,937.3214,944.2786,968.9449,963.8852,987.9191,966.4151,968.9449,838.0235,820.9468,841.1859,833.5962,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,748.8452
116,4519.0024,1361.7092,957.5605,937.3214,944.2786,968.9449,963.8852,987.9191,966.4151,968.9449,977.7995,820.9468,841.1859,833.5962,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,748.8452
117,4519.0024,1361.7092,957.5605,937.3214,944.2786,968.9449,963.8852,987.9191,966.4151,968.9449,977.7995,960.0904,841.1859,833.5962,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,748.8452
118,4519.0024,1361.7092,957.5605,937.3214,944.2786,968.9449,963.8852,987.9191,966.4151,968.9449,977.7995,960.0904,978.4320,833.5962,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,748.8452
119,4519.0024,1361.7092,957.5605,937.3214,944.2786,968.9449,963.8852,987.9191,966.4151,968.9449,977.7995,960.0904,978.4320,963.2527,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,748.8452
